,Unnamed: 0,Unnamed: 0.1,sample_size,weight,best_priori_score,best_origin_score,origin_score,priori_dis,origin_dis
0,0,0.0,100,0.08,-264.77315555389305,-258.13922697590107,-266.2561815992825,17,17
1,1,0.0,100,0.08,-234.44005506405568,-231.3012028859929,-234.33117801009075,11,11
2,2,0.0,100,0.08,-255.2264409141684,-254.9133790661461,-260.68780155809543,14,14
3,3,0.0,300,0.08,-704.9444162067731,-704.9444162067731,-710.6718294725581,14,14
4,4,0.0,300,0.08,-742.1141426500997,-740.6921857339172,-756.0600704362807,12,19
5,5,0.0,300,0.08,-740.816669996873,-729.0326423520163,-736.5585075400902,18,16
6,6,0.0,500,0.08,-1199.4585507540742,-1198.3977841876165,-1207.915866357611,5,6
7,7,0.0,500,0.08,-1172.7374748050802,-1171.836940617059,-1180.6314774188315,14,16
8,8,0.0,500,0.08,-1167.4418627824832,-1162.411522928823,-1172.568303623098,17,18
9,9,0.0,800,0.08,-1860.5825152887949,-1859.339716155342,-1871.399299415915,5,12
10,10,0.0,800,0.08,-1892.8714362189523,-1891.602476780314,-1900.9695700070656,13,13
11,11,0.0,800,0.08,-1880.943066637972,-1880.593255447384,-1890.680325686585,16,12
12,12,0.0,1000,0.08,-2282.18869337588,-2281.4980090900845,-2289.6994237887748,15,12
13,13,0.0,1000,0.08,-2304.838461591548,-2302.3504878258373,-2314.492446469104,12,13
14,14,0.0,1000,0.08,-2262.545685289655,-2261.245613201955,-2269.44788662475,3,9
15,15,0.0,3000,0.08,-6691.358834938864,-6690.561043816189,-6703.554748060901,12,15
16,16,0.0,3000,0.08,-6750.273975820143,-6750.5626648745065,-6760.720794988944,6,14
17,17,0.0,3000,0.08,-6783.45786744803,-6785.024995875124,-6789.804200082918,5,14
18,18,0.0,5000,0.08,-11324.294607014175,-11325.019772620724,-11328.136090765998,5,12
19,19,0.0,5000,0.08,-11347.948801311875,-11345.05457960852,-11345.042043514031,16,19
20,20,0.0,5000,0.08,-11233.454196276509,-11233.901856590335,-11241.025807197962,6,16
21,0,0.0,100,0.08,-250.088634942093,-249.7884541953023,-251.7065947968252,8,9
22,1,0.0,100,0.08,-235.21902112244857,-235.21902112244857,-237.95971109807545,7,7
23,2,0.0,100,0.08,-263.47551378349647,-261.77258293310626,-269.2909933074277,15,14
24,3,0.0,100,0.08,-274.1014268272813,-274.1014268272812,-284.5509080091643,18,18
25,4,0.0,100,0.08,-269.3127621183115,-269.55760873653554,-276.0882506296896,17,19
26,5,0.0,300,0.08,-723.3784491749852,-723.3784491749857,-734.3954498310197,26,26
27,6,0.0,300,0.08,-713.7168865314392,-709.4000125290636,-718.1028974909541,13,16
28,7,0.0,300,0.08,-753.4717227217626,-741.0295015110383,-750.2603487667304,16,17
29,8,0.0,300,0.08,-721.2978053664734,-714.1357434007924,-726.8250605597457,19,20
30,9,0.0,300,0.08,-755.6987774757346,-751.8098910560913,-762.1185054001935,10,15
31,10,0.0,500,0.08,-1150.9101177837435,-1148.9726862556522,-1160.2398232998903,8,17
32,11,0.0,500,0.08,-1171.8739485113956,-1150.3790676597682,-1163.2791572447893,11,11
33,12,0.0,500,0.08,-1162.699914640318,-1153.844672905956,-1163.4549487968263,21,21
34,13,0.0,500,0.08,-1152.7790813053564,-1148.6589319767324,-1161.3659899308618,15,18
35,14,0.0,500,0.08,-1190.884826755313,-1184.3996565334714,-1194.7171836575712,15,17
36,15,0.0,800,0.08,-1831.7142868993967,-1818.179758330777,-1827.6735621255627,16,11
37,16,0.0,800,0.08,-1849.1321926341896,-1847.4452681119217,-1857.9612067648768,9,14
38,17,0.0,800,0.08,-1897.494404274698,-1897.757787486084,-1905.5981079760395,11,12
39,18,0.0,800,0.08,-1826.3597460015528,-1826.4352397588173,-1834.0084718072096,7,11
40,19,0.0,800,0.08,-1873.9162850104144,-1876.122624087116,-1888.7559691365416,12,13
41,20,0.0,1000,0.08,-2235.6684744275126,-2221.6651926228883,-2235.793746654651,11,11
42,21,0.0,1000,0.08,-2318.4890604936304,-2310.9792275920395,-2324.0644966394348,13,16
43,22,0.0,1000,0.08,-2275.857045621676,-2273.066022506687,-2284.4406214370983,15,13
44,23,0.0,1000,0.08,-2303.6525006776264,-2303.652500677628,-2316.3410377555992,10,14
45,24,0.0,1000,0.08,-2322.837467290293,-2320.2199962287755,-2329.687290529052,14,17
46,25,0.0,3000,0.08,-6809.1079446917,-6809.526808727996,-6818.096794087111,5,12
47,26,0.0,3000,0.08,-6850.7228004712415,-6845.02718203704,-6855.476490564203,13,16
48,27,0.0,3000,0.08,-6834.705399863983,-6836.626094770185,-6842.5522023557705,7,13
49,28,0.0,3000,0.08,-6866.112608111223,-6867.635240067185,-6876.019993753401,8,14
50,29,0.0,3000,0.08,-6858.349488797794,-6857.098549699706,-6866.532106753023,6,15
51,30,0.0,5000,0.08,-11128.87058128419,-11131.266092994902,-11137.100833595716,8,14
52,31,0.0,5000,0.08,-11341.729883046948,-11343.938011156664,-11348.60663289154,6,13
53,32,0.0,5000,0.08,-11087.101966770211,-11086.377791321294,-11096.490366255912,6,12
54,33,0.0,5000,0.08,-11363.499402866057,-11366.798363893293,-11372.364645242616,6,13
55,34,0.0,5000,0.08,-11327.877370014186,-11329.80618882128,-11334.435351581871,3,14
0,0,,100,0.08,-278.4215737425748,-273.2989256668562,-282.05174964407246,13,12
1,0,,100,0.08,-259.47208845386507,-259.05019618897694,-267.9408292869543,12,14
2,0,,300,0.08,-756.7079310096308,-745.7822459018939,-754.9697287528397,17,12
3,0,,300,0.08,-681.0810662754399,-668.0737929809286,-687.2675255308318,22,22
4,0,,500,0.08,-1190.2488185729956,-1189.0899111564142,-1201.1263780282457,7,15
5,0,,500,0.08,-1191.103063680068,-1193.0792995786653,-1202.2261243984003,16,20
6,0,,800,0.08,-1859.5240523130365,-1857.1318742109531,-1867.298319100734,11,13
7,0,,800,0.08,-1800.5838470413614,-1799.2112982783228,-1808.2412760848872,15,11
8,0,,1000,0.08,-2272.5472848388317,-2272.748592415704,-2285.831108097237,18,12
9,0,,1000,0.08,-2307.5334185648235,-2306.843834957489,-2319.2528457045937,5,12
10,0,,3000,0.08,-6866.155806536899,-6867.321666764176,-6872.680791049202,6,15
11,0,,3000,0.08,-6811.988291514295,-6815.586785012435,-6823.950675035546,7,15
12,0,,5000,0.08,-11307.313276696766,-11306.153395376146,-11311.376249247956,3,13
13,0,,5000,0.08,-11323.748950294375,-11327.487433002518,-11333.744378762458,8,14
