,Unnamed: 0,Unnamed: 0.1,sample_size,weight,best_priori_score,best_origin_score,origin_score,priori_dis,origin_dis,Unnamed: 0.1.1
0,0,0.0,100,0.08,-1627.1842680027978,-1627.1260406519957,-1724.294046377258,73,74,
1,1,0.0,100,0.08,-1579.4165793894188,-1579.3692725871344,-1682.9024444488537,71,72,
2,2,0.0,300,0.08,-4584.062638876516,-4581.292901703485,-4753.541450735356,55,57,
3,3,0.0,300,0.08,-4475.4180350213455,-4474.180754169533,-4629.190069577708,55,56,
4,4,0.0,500,0.08,-7264.424144445968,-7263.806720953259,-7463.348437811307,50,47,
5,5,0.0,500,0.08,-7260.010412813303,-7258.715535771364,-7340.458103516365,55,57,
6,6,0.0,800,0.08,-11457.095915520416,-11446.367057435298,-11542.603089438551,50,49,
7,7,0.0,800,0.08,-11176.88125565662,-11176.88125565662,-11426.971889738265,57,57,
8,8,0.0,1000,0.08,-14057.124745027271,-14052.249201390734,-14183.223968436698,52,54,
9,9,0.0,1000,0.08,-13957.09394974872,-13957.09394974872,-13970.019375163763,49,49,
10,10,0.0,3000,0.08,-40564.45203398749,-40562.81684969973,-40734.26140566669,37,38,
11,11,0.0,3000,0.08,-40829.87383198199,-40829.87383198199,-40874.98648128131,40,40,
12,12,0.0,5000,0.08,-66973.10935445658,-66970.54968541116,-66892.86270243878,48,49,
13,13,0.0,5000,0.08,-66947.47762043157,-66945.18283395078,-66875.30462797332,47,48,
14,0,0.0,100,0.08,-1760.8224325105796,-1760.2539055210234,-1905.8826640393536,62,63,0.0
15,1,1.0,100,0.08,-1676.7289520895797,-1676.5585941069469,-1794.9437111809495,64,65,0.0
16,2,2.0,100,0.08,-1681.9753734360984,-1681.2468392061764,-1809.263347041682,69,73,0.0
17,3,3.0,300,0.08,-4613.906519137618,-4608.844918445217,-4747.320786907766,66,68,0.0
18,4,4.0,300,0.08,-4511.041563492178,-4507.234006902684,-4656.990523752638,46,45,0.0
19,5,5.0,300,0.08,-4359.468411086041,-4358.276572401298,-4477.601054392474,65,65,0.0
20,6,6.0,500,0.08,-7439.065528568594,-7433.515850478395,-7555.464000058611,64,67,0.0
21,7,7.0,500,0.08,-7314.148868119253,-7314.147667245976,-7388.405378106211,57,58,0.0
22,8,8.0,500,0.08,-7165.289080514014,-7165.28377073882,-7376.659802896752,42,43,0.0
23,9,9.0,800,0.08,-11366.98263652241,-11366.330253007442,-11258.118686276544,62,63,0.0
24,10,10.0,800,0.08,-11386.691724540991,-11384.690361318755,-11588.795306324371,45,46,0.0
25,11,11.0,800,0.08,-11220.820089980343,-11220.151565738748,-11287.186809806652,53,54,0.0
26,12,12.0,1000,0.08,-13962.184271075548,-13961.516989407535,-13999.317458851048,78,79,0.0
27,13,13.0,1000,0.08,-13945.734314912886,-13943.811909756909,-14156.550621202969,60,62,0.0
28,14,14.0,1000,0.08,-14134.627567601754,-14134.60592022824,-14314.386548174569,45,46,0.0
29,15,15.0,3000,0.08,-40256.16548785626,-40251.66715425022,-40420.84237910945,37,39,0.0
30,16,16.0,3000,0.08,-40479.42789773657,-40476.37233401484,-40628.73887980339,41,42,0.0
31,17,17.0,3000,0.08,-40440.51778259484,-40440.51778259484,-40544.81612262227,45,45,0.0
32,18,18.0,5000,0.08,-66844.69292670801,-66838.70746436888,-66966.96254069719,34,36,0.0
33,19,19.0,5000,0.08,-66513.4049503068,-66511.22633930053,-66579.68529759883,40,43,0.0
34,20,20.0,5000,0.08,-66821.50650851148,-66819.14654534291,-66949.3792101122,45,46,0.0
0,0,,100,0.08,-1653.9175197254517,-1653.825510936747,-1793.7494088826304,68,69,
1,0,,100,0.08,-1597.16932951414,-1599.389107055682,-1687.9164192893766,67,70,
2,0,,100,0.08,-1604.7034941018098,-1604.7034941018098,-1733.2123832303296,67,67,
3,0,,100,0.08,-1582.6044201320535,-1582.3205664539876,-1714.7769822144437,57,58,
4,0,,100,0.08,-1691.5359735924526,-1690.9189663350744,-1827.2854626669516,54,55,
5,0,,300,0.08,-4399.528137021023,-4399.528137021023,-4490.090029543235,52,52,
6,0,,300,0.08,-4465.099675492435,-4462.310189150194,-4564.081587716047,62,66,
7,0,,300,0.08,-4569.219915447531,-4568.052032045719,-4629.698539493796,61,62,
8,0,,300,0.08,-4511.04371577175,-4508.739973084112,-4634.233437174849,49,50,
9,0,,300,0.08,-4461.500173016763,-4459.532018182483,-4645.144727288761,57,58,
10,0,,500,0.08,-7552.127080226067,-7551.959457212216,-7506.305860554206,65,65,
11,0,,500,0.08,-7233.177886038788,-7231.27956962412,-7284.473112851949,46,45,
12,0,,500,0.08,-7133.039680327425,-7131.316407619046,-7303.072718407948,38,37,
13,0,,500,0.08,-7345.68450549718,-7345.68450549718,-7443.8907239318,74,74,
14,0,,500,0.08,-7227.46351882177,-7227.46351882177,-7410.322689569047,46,46,
15,0,,800,0.08,-11317.429496356346,-11314.555783803771,-11416.563667164946,46,47,
16,0,,800,0.08,-11274.178704174308,-11284.525091044736,-11411.090893834262,50,47,
17,0,,800,0.08,-11438.131245165656,-11440.821386477435,-11458.347544352377,55,57,
18,0,,800,0.08,-11365.765032285097,-11364.99206375914,-11364.245974373496,51,51,
19,0,,800,0.08,-11437.319159600656,-11437.319159600656,-11324.170015689073,62,62,
20,0,,1000,0.08,-13978.76123803307,-13977.670327249632,-14155.871353433962,66,68,
21,0,,1000,0.08,-14025.648449009988,-14025.531136159649,-14064.3540538851,50,51,
22,0,,1000,0.08,-14180.294485965793,-14175.867684962655,-14187.449672987404,49,49,
23,0,,1000,0.08,-14177.588768490114,-14175.542898210451,-14183.187445630418,62,61,
24,0,,1000,0.08,-13923.62454944119,-13922.576213677256,-14086.800695405049,61,62,
25,0,,3000,0.08,-40331.28792092463,-40329.27851512413,-40427.99296552,39,40,
26,0,,3000,0.08,-40619.77007911776,-40616.3133019618,-40729.40709851543,46,47,
27,0,,3000,0.08,-40275.52868837257,-40272.40191157298,-40383.25855761614,44,45,
28,0,,3000,0.08,-40632.42560873094,-40627.46208994955,-40823.28869668998,35,37,
29,0,,3000,0.08,-40683.20035231753,-40680.937486391376,-40759.71256241485,43,44,
30,0,,5000,0.08,-67272.02551133066,-67269.38003451048,-67127.40237158886,44,45,
31,0,,5000,0.08,-67502.98342900339,-67500.98422881804,-66820.04644834145,64,65,
32,0,,5000,0.08,-67640.63131542549,-67640.63131542549,-67398.43901950875,65,65,
33,0,,5000,0.08,-67943.0931096574,-67943.0931096574,-66884.97127227293,61,61,
34,0,,5000,0.08,-67870.27687516237,-67866.46443576508,-67069.43415048148,43,44,
